Correlativo,Remitente,Departamento de Recepción,Departamento de Destino,Descripción,Peso (kg),Estado,Clasificación
00616,Andrés Castillo,Huehuetenango,Quetzaltenango,Juguetes,0.1,E,Bolsa
00617,Javier Ruiz,Alta Verapaz,Alta Verapaz,Juguetes,4.1,E,Sobre
00618,Juan Rodríguez,Guatemala,Suchitepéquez,Herramientas,2.5,R,Bolsa
00619,Carlos Ruiz,Huehuetenango,Peten,Artículos de decoración,5.4,R,Paquete Grande
00620,Juan González,Izabal,Chimaltenango,Ropa,9.9,T,Paquete Mediano
00621,Diego Morales,Suchitepéquez,Alta Verapaz,Ropa,9.1,R,Paquete Mediano
00622,Ana Ramírez,Peten,Izabal,Juguetes,7.9,R,Paquete Mediano
00623,Ana Ruiz,Quetzaltenango,Quetzaltenango,Artículos de decoración,7.1,T,Paquete Mediano
00624,Ana González,Suchitepéquez,Izabal,Electrónicos,3.1,T,Paquete Mediano
00625,Sofía Morales,Quetzaltenango,Guatemala,Electrodomésticos,1.3,R,Bolsa
00626,Andrés López,Izabal,Suchitepéquez,Comida,2.7,R,Bolsa
00627,María Méndez,Izabal,Quetzaltenango,Ropa,7.6,E,Sobre
00628,Carlos Hernández,Quetzaltenango,Quetzaltenango,Ropa,3.1,R,Paquete Mediano
00629,Javier Ramírez,Huehuetenango,Chimaltenango,Libros,9.6,T,Paquete Mediano
00630,Juan Rodríguez,Suchitepéquez,Peten,Electrodomésticos,1.2,E,Bolsa
00631,Juan Hernández,Chimaltenango,Chimaltenango,Electrodomésticos,8.4,E,Paquete Grande
00632,Juan González,Guatemala,Alta Verapaz,Herramientas,3.3,R,Paquete Mediano
00633,Javier González,Sacatepéquez,Guatemala,Ropa,1.9,T,Bolsa
00634,Carolina Morales,Sacatepéquez,Escuintla,Comida,6.8,E,Sobre
00635,Luisa González,Guatemala,Escuintla,Herramientas,0.7,R,Sobre
00636,Carlos Morales,Peten,Peten,Ropa,0.0,T,Bolsa
00637,Sofía Hernández,Sacatepéquez,Izabal,Libros,2.8,R,Paquete Mediano
00638,Carlos Hernández,Izabal,Sacatepéquez,Libros,4.9,E,Bolsa
00639,María Castillo,Suchitepéquez,Escuintla,Electrodomésticos,5.1,R,Paquete Grande
00640,Carolina Ruiz,Huehuetenango,Suchitepéquez,Ropa,7.0,E,Paquete Grande
00641,Juan Morales,Guatemala,Suchitepéquez,Ropa,4.0,E,Paquete Mediano
00642,María Rodríguez,Escuintla,Guatemala,Libros,9.1,E,Bolsa
00643,Carolina Rodríguez,Sacatepéquez,Quetzaltenango,Herramientas,2.5,T,Bolsa
00644,Juan Ruiz,Alta Verapaz,Quetzaltenango,Comida,2.3,T,Sobre
00645,Juan López,Guatemala,Quetzaltenango,Electrónicos,6.9,R,Paquete Grande
00646,Luisa Ruiz,Suchitepéquez,Huehuetenango,Ropa,9.6,T,Paquete Mediano
00647,Juan Morales,Guatemala,Escuintla,Herramientas,8.8,T,Sobre
00648,Carlos Méndez,Sacatepéquez,Suchitepéquez,Electrónicos,8.4,E,Paquete Grande
00649,Ana López,Alta Verapaz,Chimaltenango,Electrónicos,8.2,T,Paquete Mediano
00650,Andrés Rodríguez,Suchitepéquez,Izabal,Artículos de decoración,4.2,R,Bolsa
00651,Juan Méndez,Escuintla,Sacatepéquez,Comida,1.1,E,Bolsa
00652,Javier Méndez,Peten,Sacatepéquez,Comida,4.2,T,Sobre
00653,Luisa Méndez,Izabal,Chimaltenango,Artículos de decoración,7.9,T,Bolsa
00654,Javier Hernández,Escuintla,Peten,Ropa,1.6,E,Paquete Grande
00655,Carolina Méndez,Guatemala,Izabal,Comida,6.9,T,Bolsa
00656,Juan Méndez,Huehuetenango,Alta Verapaz,Electrónicos,9.8,R,Paquete Mediano
00657,Sofía Ruiz,Chimaltenango,Sacatepéquez,Artículos de decoración,8.8,E,Bolsa
00658,Andrés Ruiz,Escuintla,Chimaltenango,Juguetes,7.5,R,Bolsa
00659,Diego Ramírez,Izabal,Alta Verapaz,Electrodomésticos,5.5,R,Bolsa
00660,Ana García,Chimaltenango,Huehuetenango,Artículos de decoración,3.5,R,Paquete Mediano
00661,Carolina García,Guatemala,Alta Verapaz,Libros,0.2,E,Paquete Mediano
00662,Sofía López,Escuintla,Alta Verapaz,Electrodomésticos,2.8,T,Paquete Grande
00663,Luisa Ramírez,Peten,Chimaltenango,Electrónicos,2.4,T,Bolsa
00664,Luisa García,Guatemala,Quetzaltenango,Libros,1.8,R,Sobre
00665,Ana Castillo,Chimaltenango,Suchitepéquez,Electrónicos,3.0,T,Bolsa
00666,Andrés Castillo,Escuintla,Izabal,Juguetes,5.0,R,Sobre
00667,Carolina Hernández,Sacatepéquez,Peten,Ropa,5.5,R,Paquete Mediano
00668,Javier Ruiz,Chimaltenango,Guatemala,Electrónicos,1.3,E,Bolsa
00669,Javier Castillo,Quetzaltenango,Escuintla,Herramientas,7.0,R,Bolsa
00670,Luisa Castillo,Chimaltenango,Guatemala,Libros,1.3,E,Paquete Mediano
00671,Ana Méndez,Suchitepéquez,Chimaltenango,Ropa,4.6,T,Bolsa
00672,Juan González,Peten,Suchitepéquez,Ropa,3.7,T,Paquete Grande
00673,Juan Méndez,Suchitepéquez,Izabal,Artículos de decoración,2.0,R,Paquete Grande
00674,Carlos Ramírez,Sacatepéquez,Huehuetenango,Artículos de decoración,4.4,T,Paquete Grande
00675,Juan González,Escuintla,Quetzaltenango,Electrodomésticos,2.4,T,Sobre
00676,Sofía González,Huehuetenango,Huehuetenango,Electrónicos,2.8,T,Paquete Mediano
00677,Carolina Ramírez,Sacatepéquez,Chimaltenango,Herramientas,0.1,T,Paquete Grande
00678,Juan Morales,Quetzaltenango,Izabal,Electrónicos,1.5,T,Paquete Grande
00679,Javier Rodríguez,Chimaltenango,Escuintla,Electrónicos,9.2,T,Bolsa
00680,Luisa Ruiz,Quetzaltenango,Alta Verapaz,Juguetes,4.1,E,Paquete Mediano
00681,Juan Méndez,Suchitepéquez,Guatemala,Juguetes,1.1,T,Paquete Grande
00682,Juan Rodríguez,Alta Verapaz,Chimaltenango,Electrodomésticos,4.8,T,Paquete Grande
00683,Juan López,Escuintla,Guatemala,Juguetes,8.9,T,Bolsa
00684,Ana García,Sacatepéquez,Izabal,Ropa,7.2,R,Paquete Grande
00685,María González,Sacatepéquez,Escuintla,Artículos de decoración,0.6,R,Sobre
00686,Sofía Hernández,Quetzaltenango,Chimaltenango,Artículos de decoración,4.9,E,Paquete Grande
00687,Ana Méndez,Peten,Sacatepéquez,Electrodomésticos,8.7,R,Paquete Grande
00688,María Morales,Chimaltenango,Huehuetenango,Comida,0.4,T,Sobre
00689,Andrés Rodríguez,Peten,Peten,Ropa,9.9,R,Bolsa
00690,Ana Morales,Quetzaltenango,Quetzaltenango,Artículos de decoración,7.1,R,Sobre
00691,Luisa González,Guatemala,Alta Verapaz,Comida,0.0,E,Paquete Grande
00692,Luisa García,Peten,Izabal,Libros,8.2,E,Bolsa
00693,Carlos Méndez,Guatemala,Alta Verapaz,Libros,9.2,E,Bolsa
00694,María González,Izabal,Escuintla,Ropa,9.6,T,Sobre
00695,Diego Morales,Escuintla,Chimaltenango,Ropa,2.9,T,Paquete Grande
00696,Sofía Hernández,Chimaltenango,Guatemala,Ropa,0.2,E,Bolsa
00697,Ana García,Huehuetenango,Suchitepéquez,Libros,2.6,E,Paquete Grande
00698,Sofía Ruiz,Sacatepéquez,Guatemala,Comida,4.6,E,Sobre
00699,Javier Rodríguez,Huehuetenango,Guatemala,Electrónicos,2.6,T,Bolsa
00700,Diego Castillo,Alta Verapaz,Chimaltenango,Electrónicos,4.3,E,Paquete Mediano
00701,Andrés González,Suchitepéquez,Huehuetenango,Libros,6.3,E,Paquete Mediano
00702,Andrés Rodríguez,Sacatepéquez,Huehuetenango,Electrónicos,1.5,E,Sobre
00703,Diego Ramírez,Guatemala,Sacatepéquez,Comida,8.7,E,Bolsa
00704,Andrés Ramírez,Escuintla,Sacatepéquez,Juguetes,0.7,E,Paquete Mediano
00705,Andrés Castillo,Guatemala,Chimaltenango,Comida,8.6,E,Paquete Mediano
00706,Luisa Ruiz,Peten,Huehuetenango,Artículos de decoración,3.1,E,Paquete Grande
00707,Juan Hernández,Peten,Huehuetenango,Herramientas,6.4,R,Paquete Grande
00708,Juan López,Huehuetenango,Huehuetenango,Electrodomésticos,9.3,E,Sobre
00709,Luisa Rodríguez,Quetzaltenango,Escuintla,Ropa,2.7,E,Paquete Mediano
00710,Andrés López,Sacatepéquez,Sacatepéquez,Ropa,4.0,E,Paquete Mediano
00711,María Méndez,Guatemala,Guatemala,Electrónicos,1.0,T,Sobre
00712,Andrés Ramírez,Peten,Alta Verapaz,Artículos de decoración,9.5,E,Paquete Grande
00713,Carolina López,Alta Verapaz,Alta Verapaz,Electrónicos,2.3,R,Sobre
00714,Javier Castillo,Quetzaltenango,Escuintla,Herramientas,1.3,E,Paquete Mediano
00715,María Hernández,Sacatepéquez,Suchitepéquez,Herramientas,4.0,E,Paquete Mediano
00716,Ana López,Izabal,Escuintla,Ropa,2.2,E,Bolsa
00717,Sofía López,Escuintla,Peten,Herramientas,9.3,T,Sobre
00718,Ana Ramírez,Alta Verapaz,Sacatepéquez,Libros,8.4,T,Sobre
00719,María Ruiz,Alta Verapaz,Suchitepéquez,Electrodomésticos,2.6,T,Paquete Grande
00720,Sofía García,Chimaltenango,Suchitepéquez,Artículos de decoración,4.7,T,Paquete Grande
00721,Sofía Morales,Sacatepéquez,Chimaltenango,Electrónicos,4.1,R,Paquete Grande
00722,Andrés Hernández,Guatemala,Izabal,Electrónicos,0.9,E,Bolsa
00723,Carolina González,Huehuetenango,Huehuetenango,Libros,1.0,T,Bolsa
00724,Ana Ramírez,Peten,Izabal,Juguetes,7.7,T,Paquete Grande
00725,María Rodríguez,Quetzaltenango,Guatemala,Herramientas,8.2,T,Paquete Grande
00726,Sofía Ruiz,Escuintla,Escuintla,Herramientas,4.6,E,Paquete Mediano
00727,Diego Ramírez,Peten,Guatemala,Libros,4.6,R,Sobre
00728,Carlos García,Suchitepéquez,Alta Verapaz,Artículos de decoración,5.3,T,Sobre
00729,Carlos García,Peten,Suchitepéquez,Artículos de decoración,9.9,R,Paquete Mediano
00730,Ana García,Izabal,Peten,Herramientas,7.1,T,Sobre
00731,Javier Rodríguez,Huehuetenango,Suchitepéquez,Comida,6.6,T,Paquete Mediano
00732,Diego Rodríguez,Peten,Sacatepéquez,Electrodomésticos,6.9,T,Paquete Mediano
00733,Juan Ruiz,Izabal,Izabal,Artículos de decoración,2.2,E,Paquete Mediano
00734,Luisa González,Escuintla,Sacatepéquez,Electrónicos,0.8,R,Bolsa
00735,Ana Castillo,Izabal,Huehuetenango,Juguetes,7.0,T,Bolsa
00736,Diego Morales,Huehuetenango,Sacatepéquez,Juguetes,1.8,T,Bolsa
00737,Carolina Méndez,Chimaltenango,Quetzaltenango,Artículos de decoración,2.4,E,Sobre
00738,Javier González,Alta Verapaz,Suchitepéquez,Comida,9.1,E,Bolsa
00739,María González,Alta Verapaz,Chimaltenango,Ropa,4.0,E,Paquete Grande
00740,Ana González,Suchitepéquez,Suchitepéquez,Herramientas,6.8,T,Bolsa
00741,Carolina González,Guatemala,Huehuetenango,Electrónicos,5.7,E,Bolsa
00742,María González,Quetzaltenango,Guatemala,Electrodomésticos,4.4,E,Paquete Mediano
00743,Ana López,Suchitepéquez,Escuintla,Artículos de decoración,8.5,E,Sobre
00744,Carolina Ruiz,Peten,Guatemala,Artículos de decoración,5.7,T,Sobre
00745,Carlos López,Suchitepéquez,Guatemala,Herramientas,0.2,E,Paquete Grande
00746,María García,Alta Verapaz,Quetzaltenango,Electrónicos,9.9,R,Paquete Grande
00747,María Castillo,Huehuetenango,Huehuetenango,Ropa,0.3,E,Paquete Mediano
00748,María Ruiz,Izabal,Suchitepéquez,Comida,1.4,R,Paquete Mediano
00749,Andrés López,Peten,Escuintla,Comida,4.8,E,Sobre
00750,Sofía Méndez,Izabal,Chimaltenango,Ropa,2.0,T,Paquete Mediano
00751,Diego Ruiz,Quetzaltenango,Peten,Electrónicos,7.3,E,Paquete Grande
00752,Sofía Ruiz,Huehuetenango,Huehuetenango,Herramientas,0.8,T,Paquete Mediano
00753,Juan López,Guatemala,Huehuetenango,Ropa,9.4,R,Paquete Grande
00754,Luisa García,Huehuetenango,Sacatepéquez,Herramientas,7.1,E,Paquete Grande
00755,María Morales,Izabal,Alta Verapaz,Comida,7.1,E,Sobre
00756,Carlos Rodríguez,Sacatepéquez,Chimaltenango,Comida,1.6,R,Bolsa
00757,Carolina Morales,Izabal,Huehuetenango,Juguetes,7.7,T,Paquete Mediano
00758,Diego Castillo,Huehuetenango,Peten,Ropa,9.6,T,Sobre
00759,Juan Rodríguez,Alta Verapaz,Quetzaltenango,Libros,1.1,R,Paquete Grande
00760,Ana Ruiz,Suchitepéquez,Quetzaltenango,Comida,2.7,R,Paquete Mediano
00761,Carolina Ruiz,Peten,Alta Verapaz,Electrodomésticos,2.8,R,Paquete Grande
00762,Javier Castillo,Alta Verapaz,Peten,Libros,3.1,E,Bolsa
00763,Sofía Morales,Chimaltenango,Peten,Comida,1.0,T,Bolsa
00764,Luisa Rodríguez,Guatemala,Chimaltenango,Electrónicos,5.6,E,Paquete Mediano
00765,Javier López,Escuintla,Escuintla,Electrodomésticos,4.8,E,Paquete Grande
00766,Juan Hernández,Peten,Suchitepéquez,Libros,3.3,E,Bolsa
00767,Diego Ruiz,Izabal,Alta Verapaz,Ropa,7.7,E,Paquete Mediano
00768,Andrés Hernández,Guatemala,Suchitepéquez,Ropa,9.8,T,Paquete Mediano
00769,Javier Méndez,Suchitepéquez,Escuintla,Artículos de decoración,1.0,E,Paquete Mediano
00770,María González,Izabal,Suchitepéquez,Comida,5.0,E,Paquete Mediano
00771,Luisa García,Izabal,Huehuetenango,Comida,3.2,E,Sobre
00772,María López,Guatemala,Suchitepéquez,Artículos de decoración,9.2,E,Sobre
00773,Ana Rodríguez,Peten,Peten,Ropa,9.1,E,Paquete Mediano
00774,Juan López,Huehuetenango,Guatemala,Libros,9.3,T,Bolsa
00775,Carolina Castillo,Peten,Izabal,Artículos de decoración,4.7,T,Sobre
00776,Ana Morales,Guatemala,Izabal,Libros,2.9,R,Paquete Grande
00777,Diego García,Suchitepéquez,Escuintla,Artículos de decoración,2.3,T,Bolsa
00778,Javier García,Escuintla,Quetzaltenango,Artículos de decoración,5.6,T,Paquete Mediano
00779,Carolina González,Suchitepéquez,Chimaltenango,Comida,0.8,R,Sobre
00780,Luisa Méndez,Peten,Guatemala,Herramientas,6.1,E,Bolsa
00781,María García,Suchitepéquez,Alta Verapaz,Juguetes,6.8,R,Sobre
00782,Diego Ramírez,Izabal,Sacatepéquez,Libros,4.2,T,Sobre
00783,Andrés Rodríguez,Quetzaltenango,Alta Verapaz,Electrónicos,0.7,E,Paquete Grande
00784,Ana Castillo,Suchitepéquez,Suchitepéquez,Electrónicos,6.1,E,Bolsa
00785,Andrés Méndez,Quetzaltenango,Huehuetenango,Herramientas,3.0,E,Sobre
00786,Javier Ramírez,Guatemala,Huehuetenango,Ropa,3.1,R,Paquete Grande
00787,Sofía Castillo,Huehuetenango,Escuintla,Electrónicos,6.2,R,Sobre
00788,María Rodríguez,Suchitepéquez,Peten,Ropa,8.3,R,Sobre
00789,Carlos López,Guatemala,Quetzaltenango,Artículos de decoración,7.3,E,Sobre
00790,Andrés Morales,Escuintla,Izabal,Libros,5.6,T,Paquete Mediano
00791,Andrés Ramírez,Sacatepéquez,Escuintla,Artículos de decoración,5.0,T,Bolsa
00792,Andrés Castillo,Sacatepéquez,Suchitepéquez,Juguetes,6.9,R,Sobre
00793,Diego Hernández,Sacatepéquez,Suchitepéquez,Herramientas,8.1,E,Bolsa
00794,Andrés Hernández,Sacatepéquez,Chimaltenango,Juguetes,1.9,E,Paquete Grande
00795,Javier García,Guatemala,Guatemala,Juguetes,8.1,R,Sobre
00796,Andrés Méndez,Izabal,Huehuetenango,Juguetes,6.3,T,Bolsa
00797,Ana López,Quetzaltenango,Alta Verapaz,Comida,3.4,T,Paquete Grande
00798,María García,Huehuetenango,Izabal,Libros,2.2,E,Paquete Grande
00799,Juan Ramírez,Chimaltenango,Sacatepéquez,Juguetes,8.0,E,Paquete Grande
00800,Sofía Castillo,Escuintla,Guatemala,Libros,6.4,T,Bolsa
00801,Carolina Ruiz,Escuintla,Suchitepéquez,Electrodomésticos,1.1,T,Paquete Grande
00802,Carolina Hernández,Quetzaltenango,Sacatepéquez,Artículos de decoración,2.6,T,Bolsa
00803,Javier Morales,Chimaltenango,Escuintla,Electrónicos,1.2,T,Paquete Mediano
00804,Ana Morales,Suchitepéquez,Guatemala,Juguetes,9.5,T,Sobre
00805,María Rodríguez,Peten,Quetzaltenango,Juguetes,1.9,E,Sobre
00806,Ana Méndez,Izabal,Izabal,Herramientas,3.9,T,Paquete Mediano
00807,Javier González,Peten,Alta Verapaz,Juguetes,1.6,R,Sobre
00808,Carolina González,Peten,Sacatepéquez,Ropa,9.9,T,Sobre
00809,Diego Méndez,Izabal,Chimaltenango,Electrónicos,4.7,T,Bolsa
00810,Diego González,Peten,Izabal,Herramientas,2.2,T,Paquete Grande
00811,Carlos Castillo,Izabal,Peten,Ropa,7.3,E,Paquete Mediano
00812,Carolina Castillo,Quetzaltenango,Quetzaltenango,Electrónicos,6.4,R,Bolsa
00813,Juan Castillo,Quetzaltenango,Izabal,Libros,4.0,T,Paquete Grande
00814,Juan Morales,Chimaltenango,Escuintla,Libros,2.6,E,Paquete Mediano
00815,Luisa González,Quetzaltenango,Izabal,Electrodomésticos,9.6,E,Paquete Grande
00816,Luisa Castillo,Escuintla,Sacatepéquez,Libros,6.8,T,Sobre
00817,Diego Méndez,Alta Verapaz,Suchitepéquez,Juguetes,0.9,E,Paquete Grande
00818,Carolina Morales,Huehuetenango,Izabal,Electrónicos,5.0,E,Bolsa
00819,Luisa Hernández,Izabal,Quetzaltenango,Electrónicos,4.7,T,Paquete Mediano
00820,Carlos García,Escuintla,Guatemala,Herramientas,5.1,R,Paquete Mediano
00821,Carolina Hernández,Guatemala,Izabal,Electrónicos,5.3,T,Sobre
00822,María Ruiz,Peten,Peten,Herramientas,2.3,R,Paquete Grande
00823,Carlos Ramírez,Sacatepéquez,Huehuetenango,Libros,7.7,E,Bolsa
00824,Carlos Ramírez,Alta Verapaz,Chimaltenango,Artículos de decoración,1.3,R,Paquete Mediano
00825,Luisa Morales,Quetzaltenango,Huehuetenango,Ropa,1.5,E,Bolsa
00826,Javier González,Peten,Peten,Ropa,2.1,T,Paquete Mediano
00827,Andrés Hernández,Escuintla,Chimaltenango,Artículos de decoración,9.2,R,Paquete Mediano
00828,Ana Ruiz,Escuintla,Suchitepéquez,Electrodomésticos,3.4,T,Bolsa
00829,Sofía Hernández,Chimaltenango,Quetzaltenango,Juguetes,6.0,E,Sobre
00830,Ana Hernández,Escuintla,Escuintla,Juguetes,9.2,E,Bolsa
00831,Andrés López,Suchitepéquez,Huehuetenango,Herramientas,4.2,T,Bolsa
00832,Javier González,Suchitepéquez,Alta Verapaz,Comida,2.5,T,Paquete Grande
00833,Javier Morales,Sacatepéquez,Sacatepéquez,Artículos de decoración,8.1,T,Bolsa
00834,Ana González,Peten,Escuintla,Electrodomésticos,2.4,R,Paquete Grande
00835,María Ruiz,Guatemala,Guatemala,Comida,4.1,E,Sobre
00836,Juan Hernández,Peten,Izabal,Artículos de decoración,9.3,R,Paquete Grande
00837,María Hernández,Sacatepéquez,Peten,Ropa,1.9,T,Paquete Grande
00838,Luisa Morales,Huehuetenango,Izabal,Electrodomésticos,2.3,R,Sobre
00839,Diego Ramírez,Peten,Alta Verapaz,Herramientas,0.1,E,Bolsa
00840,Carolina Hernández,Escuintla,Chimaltenango,Electrodomésticos,4.7,R,Paquete Mediano
00841,Javier Ramírez,Guatemala,Alta Verapaz,Electrodomésticos,2.7,E,Sobre
00842,Juan López,Huehuetenango,Izabal,Ropa,2.7,E,Paquete Mediano
00843,Carolina López,Izabal,Guatemala,Libros,0.6,T,Bolsa
00844,Diego González,Alta Verapaz,Escuintla,Comida,1.2,E,Bolsa
00845,Juan López,Chimaltenango,Huehuetenango,Ropa,3.9,T,Sobre
00846,Carlos Morales,Chimaltenango,Alta Verapaz,Herramientas,3.6,T,Bolsa
00847,María Hernández,Alta Verapaz,Sacatepéquez,Libros,9.4,T,Sobre
00848,Juan Ramírez,Peten,Chimaltenango,Electrodomésticos,8.0,R,Sobre
00849,Carolina Castillo,Chimaltenango,Sacatepéquez,Electrónicos,8.0,E,Bolsa
00850,Andrés Castillo,Alta Verapaz,Chimaltenango,Juguetes,7.7,R,Paquete Grande
00851,Carolina Hernández,Huehuetenango,Guatemala,Electrónicos,8.1,T,Bolsa
00852,Diego Hernández,Suchitepéquez,Suchitepéquez,Herramientas,8.2,T,Bolsa
00853,Javier López,Alta Verapaz,Guatemala,Electrónicos,8.9,E,Paquete Grande
00854,Luisa Hernández,Sacatepéquez,Suchitepéquez,Libros,8.3,E,Bolsa
00855,María Méndez,Guatemala,Peten,Electrónicos,9.5,T,Sobre
00856,Javier García,Izabal,Escuintla,Electrónicos,8.2,R,Paquete Grande
00857,Diego Méndez,Sacatepéquez,Peten,Artículos de decoración,7.6,E,Sobre
00858,Carolina Ramírez,Quetzaltenango,Sacatepéquez,Libros,0.7,E,Sobre
00859,Andrés Ramírez,Guatemala,Huehuetenango,Libros,4.5,R,Paquete Grande
00860,Carolina González,Guatemala,Alta Verapaz,Electrónicos,0.4,R,Paquete Grande
00861,Andrés González,Peten,Huehuetenango,Herramientas,9.8,R,Paquete Mediano
00862,Javier Ramírez,Huehuetenango,Izabal,Herramientas,5.4,R,Paquete Grande
00863,Carolina García,Quetzaltenango,Izabal,Libros,1.3,E,Bolsa
00864,Andrés Rodríguez,Alta Verapaz,Suchitepéquez,Juguetes,7.4,E,Paquete Mediano
00865,Carolina Hernández,Alta Verapaz,Quetzaltenango,Ropa,6.3,E,Sobre
00866,Carolina Hernández,Suchitepéquez,Suchitepéquez,Electrodomésticos,4.0,R,Paquete Grande
00867,Diego López,Chimaltenango,Huehuetenango,Artículos de decoración,6.7,R,Paquete Grande
00868,Carlos Ramírez,Huehuetenango,Quetzaltenango,Juguetes,9.4,R,Paquete Grande
00869,Andrés Morales,Chimaltenango,Chimaltenango,Juguetes,5.8,T,Paquete Mediano
00870,Juan Hernández,Huehuetenango,Izabal,Libros,7.8,E,Bolsa
00871,Javier Hernández,Quetzaltenango,Guatemala,Juguetes,0.0,T,Sobre
00872,María Hernández,Peten,Guatemala,Juguetes,4.1,T,Bolsa
00873,Andrés Morales,Guatemala,Huehuetenango,Electrodomésticos,0.4,E,Sobre
00874,María Castillo,Sacatepéquez,Chimaltenango,Ropa,8.6,E,Paquete Grande
00875,Juan Ruiz,Suchitepéquez,Huehuetenango,Libros,0.3,T,Sobre
00876,Carlos Castillo,Quetzaltenango,Guatemala,Juguetes,8.5,T,Sobre
00877,Diego Hernández,Escuintla,Huehuetenango,Libros,3.0,R,Paquete Mediano
00878,Carolina Méndez,Sacatepéquez,Quetzaltenango,Comida,2.5,T,Paquete Grande
00879,Ana López,Chimaltenango,Chimaltenango,Artículos de decoración,4.8,R,Sobre
00880,Diego García,Chimaltenango,Escuintla,Electrodomésticos,3.8,T,Paquete Grande
00881,María Ramírez,Escuintla,Huehuetenango,Ropa,8.2,E,Sobre
00882,Javier González,Peten,Quetzaltenango,Ropa,5.2,T,Paquete Mediano
00883,Carolina González,Peten,Huehuetenango,Herramientas,0.8,T,Paquete Mediano
00884,Sofía Hernández,Quetzaltenango,Peten,Ropa,2.7,R,Bolsa
00885,María Ramírez,Chimaltenango,Peten,Comida,4.5,R,Sobre
00886,Sofía García,Huehuetenango,Sacatepéquez,Libros,1.2,R,Bolsa
00887,Carlos Ramírez,Sacatepéquez,Suchitepéquez,Comida,9.6,R,Sobre
00888,Ana García,Chimaltenango,Escuintla,Electrodomésticos,8.9,E,Bolsa
00889,Luisa Méndez,Sacatepéquez,Sacatepéquez,Electrodomésticos,0.1,E,Sobre
00890,Carolina Ruiz,Escuintla,Huehuetenango,Electrónicos,4.1,T,Paquete Grande
00891,Luisa García,Chimaltenango,Huehuetenango,Electrónicos,3.2,T,Bolsa
00892,Diego Castillo,Guatemala,Izabal,Artículos de decoración,9.6,R,Bolsa
00893,María Ramírez,Quetzaltenango,Escuintla,Electrónicos,0.5,E,Sobre
00894,Diego Castillo,Guatemala,Suchitepéquez,Electrodomésticos,0.5,E,Paquete Mediano
00895,Javier González,Escuintla,Sacatepéquez,Libros,3.3,R,Paquete Grande
00896,Diego Hernández,Suchitepéquez,Sacatepéquez,Ropa,9.7,R,Bolsa
00897,Andrés Hernández,Huehuetenango,Guatemala,Juguetes,9.0,R,Paquete Grande
00898,Ana Ruiz,Chimaltenango,Izabal,Herramientas,5.7,T,Paquete Mediano
00899,Andrés Ramírez,Suchitepéquez,Quetzaltenango,Libros,2.8,R,Paquete Mediano
00900,Carolina López,Peten,Quetzaltenango,Libros,9.3,E,Paquete Grande
00901,Diego Rodríguez,Chimaltenango,Chimaltenango,Juguetes,9.3,T,Paquete Mediano
00902,Carolina González,Quetzaltenango,Chimaltenango,Electrodomésticos,2.2,E,Sobre
00903,María Ruiz,Chimaltenango,Peten,Electrónicos,9.9,E,Paquete Grande
00904,Ana Ramírez,Quetzaltenango,Suchitepéquez,Herramientas,3.7,R,Paquete Grande
00905,Ana Hernández,Suchitepéquez,Sacatepéquez,Comida,0.7,T,Sobre
00906,Ana García,Izabal,Escuintla,Electrodomésticos,0.7,E,Sobre
00907,Ana Ruiz,Chimaltenango,Sacatepéquez,Libros,5.0,R,Sobre
00908,Javier García,Chimaltenango,Izabal,Ropa,4.9,R,Sobre
00909,Carlos Méndez,Escuintla,Escuintla,Herramientas,6.6,T,Paquete Grande
00910,Ana Ruiz,Guatemala,Peten,Herramientas,3.5,R,Bolsa
00911,Ana Morales,Guatemala,Suchitepéquez,Juguetes,9.1,E,Sobre
00912,Javier Morales,Huehuetenango,Sacatepéquez,Electrodomésticos,6.9,R,Bolsa
00913,Ana Castillo,Quetzaltenango,Quetzaltenango,Electrónicos,4.1,R,Bolsa
00914,Diego Morales,Quetzaltenango,Izabal,Libros,0.4,E,Paquete Grande
00915,Sofía Castillo,Guatemala,Alta Verapaz,Electrónicos,6.1,E,Bolsa
00916,Carlos González,Izabal,Huehuetenango,Herramientas,2.6,E,Bolsa
00917,Carolina Hernández,Alta Verapaz,Suchitepéquez,Comida,7.0,E,Sobre
00918,María González,Suchitepéquez,Alta Verapaz,Artículos de decoración,7.4,E,Paquete Mediano
00919,Javier Méndez,Chimaltenango,Sacatepéquez,Comida,6.2,T,Paquete Grande
00920,Juan Morales,Peten,Escuintla,Comida,3.6,E,Paquete Grande
00921,Javier Hernández,Peten,Suchitepéquez,Artículos de decoración,1.3,T,Paquete Grande
00922,Sofía Rodríguez,Izabal,Escuintla,Artículos de decoración,7.3,T,Paquete Grande
00923,Javier Rodríguez,Sacatepéquez,Guatemala,Libros,3.3,T,Paquete Grande
00924,Ana Morales,Sacatepéquez,Chimaltenango,Herramientas,2.3,T,Paquete Mediano
00925,Sofía Morales,Sacatepéquez,Suchitepéquez,Juguetes,3.1,T,Paquete Grande
00926,Juan Morales,Sacatepéquez,Huehuetenango,Libros,3.2,T,Paquete Mediano
00927,Ana Hernández,Sacatepéquez,Sacatepéquez,Artículos de decoración,3.0,E,Paquete Grande
00928,Sofía Hernández,Chimaltenango,Peten,Herramientas,6.7,E,Bolsa
00929,María López,Chimaltenango,Huehuetenango,Electrodomésticos,8.5,R,Paquete Grande
